808 0.08
1400 0.06
2032 0.05
2672 0.04
3312 0.03
3952 0.02
4592 0.02
5232 0.01
5864 0.01
6504 0.01
7136 0.01
7780 0.04
8416 0.09
9052 0.15
9692 0.21
10332 0.26
11012 0.31
11804 0.37
12820 0.42
13844 0.43
14860 0.41
15884 0.36
16900 0.30
17924 0.22
18940 0.15
19964 0.10
20980 0.07
22008 0.05
23024 0.03
24048 0.02
25064 0.01
26088 0.01
27104 0.01
28128 0.07
29140 0.16
30164 0.24
31180 0.33
32204 0.40
33220 0.44
34244 0.43
35260 0.40
36284 0.35
37300 0.28
38328 0.20
39340 0.14
40368 0.09
41380 0.06
42408 0.04
43424 0.03
44448 0.02
45464 0.01
46488 0.01
47504 0.03
48524 0.10
49544 0.19
50564 0.27
51580 0.35
52604 0.42
53620 0.44
54644 0.42
55660 0.38
56684 0.32
57700 0.24
58728 0.17
59744 0.11
60764 0.08
61784 0.05
62808 0.03
63824 0.02
64848 0.01
65864 0.01
66888 0.00
67904 0.05
68924 0.13
69940 0.22
70964 0.31
71980 0.38
73004 0.43
74020 0.43
75044 0.40
76060 0.36
77084 0.29
78100 0.21
79124 0.15
80144 0.10
81164 0.07
82184 0.05
83208 0.03
84224 0.02
85248 0.01
86264 0.01
87288 0.01
88300 0.07
89324 0.16
90340 0.24


