
10020 136 138 271 0
10080 136 137 270 0
10140 136 137 270 0
10200 134 138 269 0
10260 136 136 269 0
10320 137 139 273 0
10380 134 139 270 0
10440 136 138 271 0
10500 136 139 272 0
10560 136 138 271 0
10620 137 140 274 0
10680 136 139 272 0
10740 137 137 271 0
10800 136 138 271 0
10860 135 144 276 0
10920 136 139 272 0
10980 137 138 272 0
11040 136 142 275 0
11100 135 140 272 0
11160 136 140 273 0
11220 138 140 275 0
11280 137 141 275 0
11340 138 141 276 0
11400 138 141 276 0
11460 136 140 273 0
11520 138 141 276 0
11580 138 140 275 0
11640 139 140 276 0
11700 140 140 277 0
11760 140 141 278 0
11820 138 141 276 0
11880 138 141 276 0
11940 140 142 279 0
12000 139 140 276 0
12060 139 141 277 0
12120 141 142 280 0
12180 140 141 278 0
12240 139 141 277 0
12300 138 143 278 0
12360 138 140 275 0
12420 139 141 277 0
12480 139 142 278 0
12540 140 141 278 0
12600 140 143 280 0
12660 140 142 279 0
12720 141 143 281 0
12780 141 143 281 0
12840 140 143 280 0
12900 141 142 280 0
12960 141 145 283 0
13020 141 142 280 0
13080 140 145 282 0
13140 141 142 280 0
13200 142 143 282 0
13260 141 143 281 0
13320 142 143 282 0
13380 143 145 285 0
13440 141 143 281 0
13500 143 140 280 0
13560 142 142 281 0
13620 142 141 280 0
13680 141 143 281 0
13740 143 143 283 0
13800 144 144 285 0
13860 143 143 283 0
13920 144 141 282 0
13980 143 143 283 0
14040 143 144 284 0
14100 143 143 283 0
14160 142 143 282 0
14220 142 144 283 0
14280 144 146 287 0
14340 143 144 284 0
14400 144 143 284 0
14460 143 142 282 0
14520 143 143 283 0
14580 144 141 282 0
14640 143 142 282 0
14700 142 142 281 0
14760 143 142 282 0
14820 144 143 284 0
14880 143 142 282 0
14940 145 142 284 0
15000 143 143 283 0
15060 144 142 283 0
15120 142 140 279 0
15180 143 142 282 0
15240 144 142 283 0
15300 144 141 282 0
15360 142 143 282 0
15420 142 143 282 0
15480 143 143 283 0
15540 143 143 283 0
15600 143 141 281 0
15660 143 143 283 0
15720 144 144 285 0
15780 144 142 283 0
15840 144 144 285 0
15900 144 143 284 0
15960 144 145 286 0
16020 143 145 285 0
16080 141 142 280 0
16140 143 144 284 0
16200 144 143 284 0
16260 145 144 286 0
