40 0.24
580 0.23
1120 0.22
1659 0.22
2199 0.23
2739 0.23
3278 0.22
3818 0.22
4358 0.22
4897 0.23
5437 0.25
5977 0.23
6516 0.24
7056 0.24
7596 0.25
8135 0.24
8675 0.24
9216 0.24
9755 0.24
10295 0.24
10835 0.23
11375 0.25
11915 0.27
12454 0.26
12994 0.26
13534 0.23
14073 0.25
14613 0.26
15153 0.25
15692 0.25
16232 0.23
16772 0.24
17311 0.26
17851 0.25
18391 0.24
18930 0.25
19470 0.23
20011 0.24
20550 0.24
21090 0.24
21630 0.25
22170 0.22
22710 0.25
23249 0.23
23789 0.23
24329 0.26
24868 0.23
25408 0.24
25948 0.23
26487 0.25
27027 0.22
27567 0.24
28106 0.23
28646 0.24
29186 0.23
29725 0.23
30265 0.22
30806 0.22
31345 0.24
31885 0.25
32425 0.24
32965 0.25
33505 0.26
34044 0.24
34584 0.24
35124 0.26
35663 0.24
36203 0.24
36743 0.23
37282 0.24
37822 0.23
38362 0.25
38901 0.24
39441 0.24
39981 0.24
40520 0.23
41060 0.24
41600 0.24
42139 0.23
42679 0.23
43219 0.24
43759 0.26
44299 0.24
44838 0.24
45378 0.26
45918 0.27
46457 0.25
46997 0.24
47537 0.24
48076 0.24
48616 0.24
49156 0.24
49695 0.23
50235 0.23
50775 0.23
51314 0.25
51854 0.26
52395 0.24
52934 0.24
53474 0.24
54014 0.24
54554 0.24
55094 0.24
55633 0.26
56173 0.24
56713 0.22
57252 0.24
57792 0.25
58332 0.25
58871 0.24
59411 0.24
59951 0.26
60490 0.25
61030 0.24
61570 0.25
62109 0.25
62649 0.24
63190 0.23
63729 0.27
