240 0.00
808 0.00
1400 0.02
2032 0.03
2680 0.06
3320 0.11
3956 0.16
4604 0.21
5260 0.25
5908 0.28
6548 0.30
7192 0.32
7828 0.31
8484 0.29
9132 0.25
9784 0.22
10432 0.19
11116 0.16
11812 0.13
12832 0.10
13844 0.07
14872 0.05
15888 0.04
16912 0.03
17928 0.02
18952 0.01
19968 0.00
20992 0.00
22004 0.07
23032 0.17
24044 0.26
25068 0.34
26084 0.39
27108 0.40
28124 0.38
29148 0.32
30164 0.25
31188 0.20
32204 0.15
33232 0.12
34248 0.09
35268 0.06
36288 0.05
37312 0.03
38328 0.02
39352 0.01
40368 0.01
41392 0.01
42408 0.05
43428 0.13
44444 0.22
45468 0.29
46484 0.32
47508 0.34
48524 0.31
49548 0.25
50564 0.20
51588 0.16
52604 0.12
53628 0.09
54644 0.07
55672 0.05
56688 0.04
57712 0.02
58728 0.02
59752 0.01
60768 0.00
61788 0.06
62804 0.16
63828 0.26
64844 0.34
65868 0.39
66884 0.41
67908 0.40
68924 0.34
69948 0.27
70964 0.21
71988 0.16
73004 0.13
74032 0.10
75044 0.07
76072 0.05
77088 0.04
78112 0.03
79128 0.02
80152 0.01
81168 0.01
82192 0.04
83208 0.10
84228 0.18
85244 0.25
86268 0.30
87284 0.32
88308 0.30
89324 0.25
90348 0.20
91364 0.16
92388 0.12
93408 0.09
94428 0.07
95448 0.05
96472 0.04
97488 0.02
98512 0.02
99528 0.01
100552 0.00
101656 0.01
102760 0.04
103864 0.11
104964 0.20
106068 0.25
107180 0.28
108284 0.28
109388 0.22
110496 0.17
111596 0.13
112704 0.10
113804 0.07
114912 0.05
116024 0.04
117128 0.02
118232 0.01
119336 0.01
